loan_amount,annual_income,home_ownership,purpose,credit_score,monthly_debt,employment_length_years,loan_term_months,number_of_open_accounts,delinquencies_2y,inquiries_6m,default
28000,131000.0,MORTGAGE,home_improvement,744,801.2833333333332,4.0,36.0,9,0,0,0
6000,96000.0,MORTGAGE,debt_consolidation,761,1255.1999999999998,10.0,36.0,15,0,1,0
25000,120000.0,MORTGAGE,debt_consolidation,730,1475.0,2.0,36.0,15,1,1,0
15000,50000.0,MORTGAGE,debt_consolidation,710,1342.0833333333335,10.0,36.0,18,0,0,0
10000,45000.0,RENT,debt_consolidation,712,614.9999999999999,6.0,36.0,6,0,0,1
10000,175000.0,MORTGAGE,other,756,1162.2916666666665,10.0,36.0,6,0,1,0
10000,50000.0,MORTGAGE,debt_consolidation,688,480.0,10.0,36.0,7,0,0,0
10750,80000.0,MORTGAGE,debt_consolidation,752,929.9999999999999,10.0,36.0,11,0,1,0
11500,33452.0,OWN,debt_consolidation,703,529.6566666666666,3.0,36.0,10,0,0,0
20000,75000.0,MORTGAGE,other,747,481.25,3.0,36.0,9,0,0,0
30000,188300.0,RENT,debt_consolidation,797,3025.353333333333,3.0,60.0,18,0,1,0
18000,52400.0,RENT,debt_consolidation,724,1375.5,10.0,36.0,11,0,0,0
8000,35000.0,MORTGAGE,debt_consolidation,748,463.16666666666663,1.0,36.0,23,0,0,0
8000,46000.0,RENT,debt_consolidation,735,680.8000000000001,4.0,36.0,9,0,0,0
12000,41600.0,RENT,debt_consolidation,699,764.0533333333333,7.0,36.0,10,0,0,0
12100,36067.2,RENT,debt_consolidation,698,1031.22136,4.0,60.0,14,0,0,0
3600,52000.0,RENT,debt_consolidation,678,441.99999999999994,1.0,36.0,4,1,2,1
28000,80000.0,RENT,vacation,713,705.3333333333334,5.0,36.0,9,0,0,1
10000,28000.0,RENT,other,748,405.0666666666667,0.5,36.0,15,0,0,0
10000,40000.0,OWN,debt_consolidation,663,832.0000000000001,10.0,36.0,12,0,1,0
22075,48000.0,MORTGAGE,home_improvement,717,636.8000000000001,2.0,60.0,12,0,2,0
25000,74000.0,MORTGAGE,home_improvement,734,1426.35,10.0,60.0,25,0,1,0
25000,85000.0,MORTGAGE,debt_consolidation,724,1061.0833333333335,10.0,36.0,5,0,0,0
10000,140000.0,RENT,other,711,1579.6666666666665,10.0,36.0,20,2,1,0
11200,50000.0,MORTGAGE,debt_consolidation,722,1477.0833333333335,10.0,36.0,10,0,0,0
7500,40000.0,MORTGAGE,other,691,937.0000000000001,0.0,36.0,11,0,0,1
15000,100000.0,MORTGAGE,other,745,1535.0000000000005,4.0,36.0,10,0,1,0
5600,35000.0,RENT,other,701,634.6666666666666,4.0,36.0,6,0,0,1
6500,90000.0,MORTGAGE,home_improvement,744,279.75,10.0,36.0,10,0,0,0
8400,28000.0,MORTGAGE,home_improvement,678,79.10000000000001,2.0,36.0,6,0,2,0
6000,110000.0,OWN,other,753,919.4166666666666,10.0,36.0,7,0,0,0
20000,40000.0,OWN,debt_consolidation,731,574.0,1.0,60.0,8,0,0,0
30000,60000.0,RENT,debt_consolidation,730,556.0,10.0,36.0,4,0,0,0
4800,29000.0,RENT,other,717,308.125,8.0,36.0,11,0,1,1
30000,100000.0,MORTGAGE,debt_consolidation,746,2265.833333333334,0.5,60.0,16,0,1,0
8000,45000.0,RENT,home_improvement,581,502.12500000000006,0.5,36.0,5,4,1,0
35000,105000.0,MORTGAGE,other,755,2193.625,3.0,60.0,21,0,0,1
9000,35000.0,MORTGAGE,debt_consolidation,718,270.9583333333333,2.0,36.0,5,0,0,0
14000,41000.0,RENT,other,737,788.225,10.0,36.0,7,0,0,0
16000,110000.0,MORTGAGE,other,753,888.2499999999999,10.0,60.0,9,0,1,0
